Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
HARD,Maximal Rectangle,17.4,0.5370845822665518,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack",15
EASY,Linked List Cycle,56.3,0.5257071677823446,https://leetcode.com/problems/linked-list-cycle,"Hash Table, Linked List, Two Pointers",15
MEDIUM,Insert Interval,37.3,0.4347364546603863,https://leetcode.com/problems/insert-interval,Array,15
EASY,Contains Duplicate,48.3,0.6323637027239968,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting",14
MEDIUM,Find Minimum in Rotated Sorted Array,32.0,0.526482393510494,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search",14
EASY,Plus One,60.7,0.475476411109977,https://leetcode.com/problems/plus-one,"Array, Math",14
MEDIUM,Count and Say,24.4,0.6050656775612677,https://leetcode.com/problems/count-and-say,String,14
MEDIUM,Restore IP Addresses,24.4,0.531583393083398,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking",14
MEDIUM,Palindromic Substrings,38.7,0.716785649066935,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming",14
MEDIUM,Remove Duplicates from Sorted Array II,53.4,0.6290213081051084,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers",14
HARD,Integer to English Words,56.2,0.3436121765501456,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion",13
EASY,Degree of an Array,48.5,0.5742057825337067,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table",13
MEDIUM,Binary Tree Level Order Traversal,17.4,0.7059657203049214,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree",13
MEDIUM,Search Suggestions System,74.8,0.6505022273267432,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)",13
MEDIUM,Lowest Common Ancestor of a Binary Tree,54.6,0.6675501387816432,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree",13
MEDIUM,Design Hit Counter,73.0,0.6920824458148753,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream",13
EASY,Isomorphic Strings,71.0,0.4685800275723814,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String",13
HARD,LFU Cache,79.8,0.4660898637811462,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List",13
MEDIUM,Evaluate Division,82.3,0.6314703330107434,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path",13
EASY,Missing Number,63.1,0.7006536003915764,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",12
HARD,Candy,55.3,0.4669985426363719,https://leetcode.com/problems/candy,"Array, Greedy",12
MEDIUM,Interleaving String,28.1,0.4217918033968859,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming",12
MEDIUM,Second Highest Salary,38.7,0.4386509018476088,https://leetcode.com/problems/second-highest-salary,Database,12
HARD,Basic Calculator,53.9,0.4558965465296108,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion",12
MEDIUM,Combination Sum II,49.0,0.5767453180420465,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking",12
MEDIUM,Unique Binary Search Trees,17.4,0.6244520536210353,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree",12
