Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,count
EASY,Contains Duplicate,68.0,0.6323636777340309,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting",5
MEDIUM,Restore IP Addresses,32.8,0.531583393083398,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking",5
MEDIUM,Combination Sum,36.2,0.7467467920803577,https://leetcode.com/problems/combination-sum,"Array, Backtracking",5
EASY,Merge Strings Alternately,38.0,0.8222964639886224,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String",5
MEDIUM,Design Tic-Tac-Toe,57.2,0.5860139660881724,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation",5
MEDIUM,Longest Increasing Subsequence,43.6,0.5780834572811812,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming",5
HARD,N-Queens,45.6,0.7281704967757537,https://leetcode.com/problems/n-queens,"Array, Backtracking",5
MEDIUM,Min Stack,73.3,0.5644509869283207,https://leetcode.com/problems/min-stack,"Stack, Design",5
MEDIUM,Clone Graph,100.0,0.6238596161697385,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph",5
HARD,Serialize and Deserialize Binary Tree,50.8,0.5896945647013689,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",5
HARD,LFU Cache,60.0,0.4660898637811462,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List",5
MEDIUM,Integer to Roman,50.8,0.6861931275088928,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",5
HARD,Regular Expression Matching,45.6,0.2928013101016923,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion",5
MEDIUM,Unique Paths,55.0,0.6577283527258664,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics",5
EASY,Isomorphic Strings,47.6,0.4685795790862557,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String",4
EASY,Logger Rate Limiter,47.9,0.7661025675370229,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream",4
MEDIUM,Best Time to Buy and Sell Stock II,55.0,0.6950023404506479,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",4
MEDIUM,Jump Game II,56.8,0.4150320105538864,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy",4
HARD,Word Break II,66.4,0.5364536357075469,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization",4
HARD,Shortest Distance from All Buildings,95.0,0.443752767487823,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix",4
MEDIUM,Copy List with Random Pointer,68.5,0.6053669280147949,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List",4
EASY,Can Place Flowers,62.8,0.2889923936767658,https://leetcode.com/problems/can-place-flowers,"Array, Greedy",4
MEDIUM,Gas Station,68.0,0.4638361778165814,https://leetcode.com/problems/gas-station,"Array, Greedy",4
MEDIUM,Reorganize String,91.3,0.5619629406023937,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting",4
EASY,Contains Duplicate II,52.9,0.4904986450077176,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window",4
EASY,Pascal's Triangle,38.6,0.770215491719448,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming",4
HARD,Maximum Profit in Job Scheduling,74.9,0.5441735043380527,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting",4
MEDIUM,Daily Temperatures,100.0,0.6736502832589849,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack",4
MEDIUM,Edit Distance,49.0,0.5878976197609908,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming",4
EASY,Squares of a Sorted Array,100.0,0.73219143688745,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting",4
HARD,Block Placement Queries,93.3,0.168902023187088,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree",4
MEDIUM,Number of Black Blocks,83.9,0.3861547271028601,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration",4
MEDIUM,Simplify Path,77.2,0.4785434600375143,https://leetcode.com/problems/simplify-path,"String, Stack",4
